year,conference,members_total,members_white,members_black,members_indian
1802,Baltimore,16091,10897,5194,0
1802,New England,2422,2408,14,0
1802,New York,10749,10375,374,0
1802,Philadelphia,26236,19131,7105,0
1802,South Carolina,9645,7071,2574,0
1802,Virginia,14625,11535,3090,0
1802,Western,4957,4648,309,0
1803,Baltimore,18877,12463,6414,0
1803,New England,2941,2927,14,0
1803,New York,11798,11408,390,0
1803,Philadelphia,33186,24626,8560,0
1803,South Carolina,12071,9256,2815,0
1803,Virginia,16893,13099,3794,0
1803,Western,8202,7738,464,0
1804,Baltimore,23757,16876,6881,0
1804,New England,7824,7765,59,0
1804,New York,11723,11291,432,0
1804,Philadelphia,27741,19299,8442,0
1804,South Carolina,14510,11064,3446,0
1804,Virginia,17454,13373,4081,0
1804,Western,9600,9082,518,0
1805,Baltimore,24606,17801,6805,0
1805,New England,8472,8415,57,0
1805,New York,11686,11285,401,0
1805,Philadelphia,29327,20413,8914,0
1805,South Carolina,16089,12258,3831,0
1805,Virginia,17820,14247,3573,0
1805,Western,11877,11141,736,0
1806,Baltimore,26143,18922,7221,0
1806,New England,9211,9149,62,0
1806,New York,13306,12681,625,0
1806,Philadelphia,31924,22142,9782,0
1806,South Carolina,17054,12665,4389,0
1806,Virginia,20245,15697,4548,0
1806,Western,12687,12057,630,0
1807,Baltimore,28160,20707,7453,0
1807,New England,8323,8267,56,0
1807,New York,16943,16193,750,0
1807,Philadelphia,36456,25560,10896,0
1807,South Carolina,17986,13584,4402,0
1807,Virginia,23403,17735,5668,0
1807,Western,14235,13512,723,0
1808,Baltimore,26161,19028,7133,0
1808,New England,8827,8761,66,0
1808,New York,22568,21699,869,0
1808,Philadelphia,34897,24399,10498,0
1808,South Carolina,19540,14419,5121,0
1808,Virginia,24003,18169,5834,0
1808,Western,16100,15205,895,0
1809,Baltimore,26482,19272,7210,0
1809,New England,10096,10023,73,0
1809,New York,23624,22687,937,0
1809,Philadelphia,36899,26365,10534,0
1809,South Carolina,22418,16244,6174,0
1809,Virginia,24241,18502,5739,0
1809,Western,19057,17940,1117,0
1810,Baltimore,26535,19094,7441,0
1810,Genesee,10693,10632,61,0
1810,New England,11389,11261,128,0
1810,New York,18819,17872,947,0
1810,Philadelphia,31508,21501,10007,0
1810,South Carolina,25990,17788,8202,0
1810,Virginia,25006,18824,6182,0
1810,Western,22889,21760,1129,0
1811,Baltimore,27240,19802,7438,0
1811,Genesee,11833,11780,53,0
1811,New England,12480,12418,62,0
1811,New York,18987,18001,986,0
1811,Philadelphia,32881,22527,10354,0
1811,South Carolina,28533,19404,9129,0
1811,Virginia,25577,19345,6232,0
1811,Western,27366,25891,1475,0
1812,Baltimore,29195,21311,7884,0
1812,Genesee,13014,12956,58,0
1812,New England,12082,12013,69,0
1812,New York,18899,17931,968,0
1812,Philadelphia,33749,23211,10538,0
1812,South Carolina,31926,20863,11063,0
1812,Virginia,25423,19157,6266,0
1812,Western,30866,29219,1647,0
1813,Baltimore,28262,20272,7990,0
1813,Genesee,10509,10469,40,0
1813,New England,11860,11768,92,0
1813,New York,19059,17928,1131,0
1813,Ohio,23374,22813,561,0
1813,Philadelphia,34657,23773,10884,0
1813,South Carolina,37782,23966,13816,0
1813,Tennessee,22719,20622,2097,0
1813,Virginia,26165,19826,6339,0
1814,Baltimore,28411,20400,8011,0
1814,Genesee,11072,11016,56,0
1814,New England,11596,11492,104,0
1814,New York,18891,17638,1253,0
1814,Ohio,22485,21964,521,0
1814,Philadelphia,32687,22731,9956,0
1814,South Carolina,38059,23711,14348,0
1814,Tennessee,21721,19777,1944,0
1814,Virginia,26254,19880,6374,0
1815,Baltimore,28262,19918,8344,0
1815,Genesee,13928,13877,51,0
1815,New England,11085,10983,102,0
1815,New York,18133,16861,1272,0
