year,conference,district,meeting,state,members_total,members_general,members_white,members_black,members_indian,url
1786,NA,NA,Portsmouth,NA,356,NA,330,26,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Sussex,NA,488,NA,416,72,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Brunswick,NA,364,NA,305,59,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Amelia,NA,412,NA,382,30,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Mecklenburg,NA,429,NA,392,37,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Bedford,NA,540,NA,524,16,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Orange,NA,449,NA,374,75,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Williamsburg,NA,178,NA,167,11,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Alleghany,NA,368,NA,350,18,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Berkley,NA,166,NA,140,26,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Redstone,NA,523,NA,523,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Fairfax,NA,260,NA,260,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Lancaster,NA,174,NA,174,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Frederick,NA,422,NA,390,32,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Calvert,NA,611,NA,295,316,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Baltimore,NA,766,NA,655,111,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Little York,NA,136,NA,136,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Kent,NA,1013,NA,1013,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Talbot,NA,964,NA,632,332,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Dorchester,NA,719,NA,719,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Somerset,NA,220,NA,220,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Annamessex,NA,350,NA,317,33,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Northampton,NA,160,NA,151,9,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Caroline,NA,900,NA,657,243,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Dover,NA,848,NA,690,158,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Philadelphia,NA,498,NA,498,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Georgia,NA,78,NA,78,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Charleston,NA,58,NA,35,23,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Santee,NA,75,NA,75,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Pee Dee,NA,295,NA,285,10,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Broad River,NA,210,NA,200,10,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Salisbury,NA,327,NA,327,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Yadkin,NA,437,NA,426,11,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Holston,NA,250,NA,250,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Guilford,NA,410,NA,400,10,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Halifax,NA,338,NA,324,14,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,New Hope,NA,195,NA,192,3,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Tar River,NA,649,NA,607,42,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,New River,NA,572,NA,500,72,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Roanoke,NA,474,NA,474,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Caswell,NA,153,NA,153,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Bertie,NA,463,NA,405,58,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Camden and Banks,NA,257,NA,257,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,West Jersey,NA,492,NA,492,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,Trenton,NA,352,NA,352,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,East Jersey,NA,865,NA,865,0,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
1786,NA,NA,New York,NA,203,NA,178,25,0,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=34
