mission_number,church,city,state,date_start,date_end,year,decade,duration_days,duration_weeks,confessions,converts,order,lat,long,volume,page
1,St. Joseph's Church,New York,NY,1851-04-06,1851-04-20,1851,1850s,14,2 weeks or less,6000,0,Redemptorist,40.7143528,-74.0059731,1,1
2,St. Michael's Church,Loretto,PA,1851-04-27,1851-05-11,1851,1850s,14,2 weeks or less,1700,0,Redemptorist,40.5031263,-78.630296,1,6
3,St. Mary's Church,Hollidaysburg,PA,1851-05-18,1851-05-28,1851,1850s,10,2 weeks or less,1000,0,Redemptorist,40.4272949,-78.3889024,1,11
4,Church of St. John Evangelist,Johnstown,PA,1851-05-31,1851-06-08,1851,1850s,8,2 weeks or less,1000,0,Redemptorist,40.3267407,-78.9219698,1,12
5,St. Peter's Church,New York,NY,1851-09-28,1851-10-12,1851,1850s,14,2 weeks or less,4000,0,Redemptorist,40.7143528,-74.0059731,1,15
6,St. Patrick's Cathedral,New York,NY,1851-10-19,1851-11-03,1851,1850s,15,3 weeks or less,7000,0,Redemptorist,40.7143528,-74.0059731,1,18
7,St. Patrick's Church,Erie,PA,1851-11-17,1851-11-28,1851,1850s,11,2 weeks or less,1000,0,Redemptorist,42.1292241,-80.085059,1,20
8,St. Philip Benizi Church,Cussewago,PA,1851-12-01,1851-12-08,1851,1850s,7,1 week or less,270,0,Redemptorist,41.7985407,-80.2098219,1,22
9,St. Vincent's Church (Benedictine),Youngstown,PA,1851-12-10,1851-12-19,1851,1850s,9,2 weeks or less,1000,0,Redemptorist,40.2797927,-79.3655913,1,22
10,St. Peter's Church,Saratoga,NY,1852-01-11,1852-01-22,1852,1850s,11,2 weeks or less,600,3,Redemptorist,43.0448483,-73.6300729,1,23
11,St. Peter's Church,Troy,NY,1852-01-25,1852-02-22,1852,1850s,28,more than 3 weeks,3100,0,Redemptorist,42.7284117,-73.6917851,1,27
12,St. Joseph's Church,Albany,NY,1852-02-29,1852-03-14,1852,1850s,14,2 weeks or less,4000,0,Redemptorist,42.6525793,-73.7562317,1,28
