year,Connecticut,Delaware,Georgia,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Southwest Territory,Vermont,Virginia,District Of Columbia,Indiana Territory,Kentucky,Mississippi Territory,Northwest Territory,Tennessee,Illinois Territory,Louisiana Territory,Michigan Territory,Ohio,Orleans Territory,Alabama,Arkansas Territory,Illinois,Indiana,Louisiana,Maine,Mississippi,Missouri Territory,Florida Territory,Missouri,Arkansas,Iowa Territory,Michigan,Wisconsin Territory,California,Florida,Iowa,Minnesota Territory,New Mexico Territory,Oregon Territory,Texas,Utah Territory,Wisconsin,Colorado Territory,Dakota Territory,Kansas Territory,Minnesota,Nebraska Territory,Nevada Territory,Oregon,Washington Territory,Arizona Territory,Idaho Territory,Kansas,Montana Territory,Nebraska,Nevada,West Virginia,Wyoming Territory,Alaska Territory,Colorado,Idaho,Indian Territory,Montana,North Dakota,Oklahoma Territory,South Dakota,Washington,Wyoming,Hawaii Territory,Utah,Persons in the Military,Oklahoma,Arizona,New Mexico,Alaska,Hawaii,Puerto Rico
1790,237655,59096,82548,319728,475199,141899,184139,340241,395005,433611,69112,249073,35691,85341,821287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800,251002,64273,162686,341548,574564,183858,211149,589051,478103,602365,69122,345591,NA,154465,880200,14093,5641,220955,8850,45365,105602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,261942,72674,252433,380546,700745,214460,245562,959049,555500,810091,76931,415115,NA,217895,974600,24023,24520,406511,40352,NA,261727,12282,20845,4762,230760,76556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,275248,72749,340989,407350,523287,244161,277575,1372812,638829,1049458,83059,502741,NA,235764,1065379,33039,NA,564317,NA,NA,422813,NA,NA,8896,581434,NA,127901,14273,55211,147178,153407,298335,75448,66586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1830,297675,76748,516823,447040,610408,269328,320823,1918608,737987,1348233,97199,581185,NA,280652,1211405,39834,NA,687917,NA,NA,681904,NA,NA,31639,937903,NA,309527,30388,157445,343031,215739,399455,136621,NA,34730,140455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,309978,78085,691392,470019,737699,284574,373306,2428921,753419,1724033,108830,594398,NA,291948,1239797,43712,NA,779828,NA,NA,829210,NA,NA,NA,1519467,NA,590756,NA,476183,685866,352411,501793,375651,NA,54477,383702,97574,43112,212267,30945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,370792,91532,906185,583034,994514,317976,489555,3097394,869039,2311786,147545,668507,NA,314120,1421661,51687,NA,982405,NA,NA,1002717,NA,NA,NA,1980329,NA,771623,NA,851470,988416,517762,583169,606526,NA,NA,682044,209897,NA,397654,NA,92597,87445,192214,6077,61547,13294,212592,11380,305391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,460147,112216,1057286,687049,1231066,326073,672035,3880735,992622,2906215,174620,703708,NA,315098,1596318,75080,NA,1155684,NA,NA,1109801,NA,NA,NA,2339511,NA,964201,NA,1711951,1350428,708002,628279,791305,NA,NA,1182012,435450,NA,749113,NA,379994,140424,674913,NA,93516,NA,604215,40273,775881,34277,4837,107206,172023,28841,6857,52465,11594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,537454,125015,1184109,780894,1457351,318300,906096,4382759,1071361,3521951,217353,705606,NA,330551,1225163,131700,NA,1321011,NA,NA,1258520,NA,NA,NA,2665260,NA,996992,NA,2539891,1680637,726915,626915,827922,NA,NA,1721295,484471,NA,1184059,NA,560247,187748,1194020,NA,91874,NA,818579,86786,1054670,39864,14181,NA,439706,NA,NA,90923,23955,9658,14999,364399,20595,122993,42491,442014,9118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,622700,146608,1542180,934943,1783085,346991,1131116,5082871,1399750,4282891,276531,995577,NA,332286,1512565,177624,NA,1648690,NA,NA,1542359,NA,NA,NA,3198062,NA,1262505,NA,3077871,1978301,939946,648936,1131597,NA,NA,2168380,802525,NA,1636937,NA,864694,269493,1624615,NA,119565,NA,1591749,143963,1315497,NA,135177,NA,780773,NA,NA,174768,75116,40440,32610,996096,39159,452402,62266,618457,20789,33426,194327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,746258,168493,1837353,1042390,2238943,376530,1444933,5997853,1617947,5258014,345506,1151149,NA,332422,1655980,230392,NA,1858635,NA,NA,1767518,NA,NA,NA,3672316,NA,1513017,NA,3826351,2192404,1118587,661086,1289600,NA,NA,2679184,1128179,NA,2093889,NA,1208130,391422,1911896,NA,153593,NA,2235523,207905,1686880,NA,NA,NA,1301826,NA,NA,313767,NA,59620,NA,1427096,NA,1058910,45761,762794,NA,32052,412198,84385,NA,132159,182719,61834,328808,349390,60705,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,908420,184735,2216331,1188044,2805346,411588,1883669,7268894,1893810,6302115,428556,1340316,NA,343641,1854184,278718,NA,2147174,NA,NA,2020616,NA,NA,NA,4157545,NA,1828697,NA,4821550,2516462,1381625,694466,1551270,NA,NA,3106665,1311564,NA,2420982,NA,1485053,528542,2231853,NA,195310,NA,3048710,NA,2069042,NA,NA,NA,1751394,NA,NA,413536,NA,122931,NA,1470495,NA,1066300,42335,958800,NA,63592,539700,161772,392060,243329,319146,398331,401570,518103,92531,154001,276749,91219,NA,NA,NA,NA,NA,NA
1910,1114756,202322,2609121,1295346,3366416,430572,2537167,9113614,2206287,7665111,542610,1515400,NA,355956,2061612,331069,NA,2289905,NA,NA,2184789,NA,NA,NA,4767121,NA,2138093,NA,5638591,2700876,1656388,742371,1797114,NA,NA,3293335,1574449,NA,2810173,NA,2377549,752619,2224771,NA,327301,NA,3896542,NA,2333860,NA,NA,NA,2075708,NA,NA,672765,NA,204354,NA,1690949,NA,1192214,81875,1221119,NA,64356,799024,325594,NA,376053,577056,NA,583888,1141990,145965,191909,373351,NA,1657155,NA,NA,NA,NA,NA
1920,1380631,223003,2895832,1449661,3852356,443083,3155900,10385228,2559123,8720018,604397,1683724,NA,352428,2309187,437571,NA,2416630,NA,NA,2337885,NA,NA,NA,5759394,NA,2348174,NA,6485280,2930390,1798509,768014,1790618,NA,NA,3404055,1752204,NA,3668412,NA,3426861,968470,2404021,NA,NA,NA,4663228,NA,2632067,NA,NA,NA,2387125,NA,NA,783389,NA,NA,NA,1769257,NA,1296372,77407,1463701,NA,55036,939629,431866,NA,548889,646872,NA,636547,1356621,194402,255881,449396,NA,2028283,334162,360350,NA,NA,NA
