"","university","count","earliest_year","latest_year","lon","lat"
"1","Columbia University.",3181,1950,2013,-73.9625727,40.8075355
"2","The University of Wisconsin - Madison.",2310,1939,2013,-89.4124875,43.076592
"3","University of California, Berkeley.",2236,1962,2012,-122.2505629,37.8739132
"4","Yale University.",2196,1878,2012,-72.9223431,41.3163244
"5","University of California, Los Angeles.",2128,1953,2013,-118.4451812,34.068921
"6","Harvard University.",2052,1954,2013,-71.1166601,42.3770029
"7","New York University.",1998,1947,2013,-73.9964609,40.7295134
"8","University of Michigan.",1838,1909,2013,-83.7382259,42.2780584
"9","University of Pennsylvania.",1815,1932,2013,-75.1932137,39.9522188
"10","The University of Chicago.",1766,1932,2013,-87.5987133,41.7886079
"11","Princeton University.",1673,1937,2013,-74.6514481,40.3439888
"12","Indiana University.",1488,1952,2013,-86.5149053,39.1691355
"13","University of Minnesota.",1431,1947,2013,-93.2277285,44.97399
"14","Stanford University.",1293,1947,2012,-122.169719,37.4274745
"15","The University of Texas at Austin.",1237,1957,2011,-97.7327641,30.2806543
"16","University of Toronto (Canada).",1229,1943,2012,-79.1859984,43.7847122
"17","The University of North Carolina at Chapel Hill.",1227,1958,2013,-79.0469134,35.9049122
"18","University of Virginia.",1198,1953,2013,-78.5079772,38.0335529
"19","The Ohio State University.",1104,1938,2012,-83.0310846,40.0138423
"20","Duke University.",1072,1958,2013,-78.9382286,36.0014258
"21","The Johns Hopkins University.",1048,1956,2012,-76.6233538,39.3249281
"22","University of Illinois at Urbana-Champaign.",1000,1949,2012,-88.2271615,40.1019523
"23","Cornell University.",972,1930,2013,-76.4735027,42.4534492
"24","City University of New York.",956,1967,2013,-73.9478026,40.7712656
"25","Northwestern University.",925,1953,2013,-87.6748758,42.0539102
"26","University of Washington.",900,1953,2013,-122.3035191,47.6553354
"27","Rutgers The State University of New Jersey - New Brunswick.",879,1955,2013,-74.4473434,40.5009561
"28","University of Maryland, College Park.",813,1954,2012,-76.9428679,38.9869367
"29","University of California, Santa Barbara.",773,1963,2013,-119.848947,34.4139629
"30","The University of Iowa.",749,1953,2013,-91.5548998,41.6626963
"31","Emory University.",692,1952,2012,-84.3239795,33.7920794
"32","The Florida State University.",653,1962,2013,-84.2984889,30.4418778
"33","Brown University.",651,1930,2011,-71.4025625,41.8267175
"34","University of Kansas.",645,1933,2012,-95.251663,38.9544238
"35","University of Pittsburgh.",623,1954,2012,-79.960835,40.4443533
"36","Temple University.",600,1970,2013,-75.1546786,39.9820942
"37","Michigan State University.",594,1952,2013,-84.4791506,42.7041949
"38","University of Notre Dame.",539,1953,2012,-86.2353067,41.7052193
"39","Boston University.",538,1955,2013,-71.1073183,42.3507543
"40","Georgetown University.",530,1965,2013,-77.0722585,38.9076089
"41","University of Southern California.",493,1958,2013,-118.2851232,34.0223383
"42","Brandeis University.",472,1962,2013,-71.258595,42.3654347
"43","University of Missouri - Columbia.",462,1937,2012,-92.3277375,38.9403808
"44","State University of New York at Binghamton.",454,1970,2012,-75.9669692,42.0888268
"45","The Pennsylvania State University.",447,1950,2012,-77.8599084,40.7982133
"46","State University of New York at Buffalo.",440,1961,2013,-78.8170273,42.953672
"47","Vanderbilt University.",438,1949,2013,-86.8027437,36.1443747
"48","University of California, San Diego.",434,1969,2013,-117.2421885,32.8803981
"49","The University of Arizona.",433,1965,2013,-110.9553864,32.2321012
"50","The Catholic University of America.",419,1961,2013,-76.998692,38.9368811
"51","University of Colorado at Boulder.",415,1955,2013,-105.2659419,40.0075811
"52","Syracuse University.",414,1953,2013,-76.1351158,43.0391534
"53","University of Florida.",410,1954,2012,-82.346394,29.645264
"54","McGill University (Canada).",407,1970,2012,-73.5771511,45.5047847
"55","Saint Louis University.",406,1932,2012,-90.2326947,38.6357012
"56","The University of New Mexico.",403,1954,2012,-106.6197553,35.0843441
"57","The Claremont Graduate University.",391,1958,2013,-117.714337,34.1028769
"58","The George Washington University.",391,1963,2013,-77.0474734,38.9007683
"59","Tulane University.",382,1956,2013,-90.1207279,29.9403477
"60","University of Massachusetts Amherst.",380,1965,2013,-72.5265441,42.3910761
"61","University of California, Irvine.",376,1971,2013,-117.8442962,33.6404952
"62","York University (Canada).",376,1973,2012,-79.5018684,43.7734535
"63","State University of New York at Stony Brook.",372,1971,2013,-73.1235863,40.9130959
"64","University of Rochester.",370,1962,2013,-77.6260033,43.1305531
"65","University of Kentucky.",356,1950,2011,-84.5039697,38.0306511
"66","University of South Carolina.",351,1954,2013,-81.0274276,33.996112
"67","University of Delaware.",347,1964,2012,-75.7506113,39.6779505
"68","University of Hawai'i at Manoa.",346,1964,2012,-157.8176117,21.2998136
"69","The University of Oklahoma.",343,1955,2013,-97.4457137,35.2058936
"70","University of California, Davis.",325,1967,2013,-121.7617125,38.5382322
"71","Arizona State University.",324,1973,2013,-112.0730317,33.4535269
"72","University of Connecticut.",323,1966,2012,-72.2539805,41.8077414
"73","University of Oregon.",317,1957,2013,-123.0726062,44.0448303
"74","Louisiana State University and Agricultural & Mechanical College.",308,1955,2007,-91.1736224,30.4052164
"75","University of Georgia.",305,1958,2007,-83.3773221,33.9480053
"76","American University.",303,1951,2013,-77.0908767,38.9368448
"77","Washington University in St. Louis.",303,1953,2013,-90.3107962,38.6487895
"78","Boston College.",297,1968,2013,-71.1684945,42.3355488
"79","The University of Nebraska - Lincoln.",296,1937,2013,-96.6475965,40.838785
"80","University of California, Riverside.",294,1966,2013,-117.3281109,33.973287
"81","Queen's University (Canada).",286,1969,2011,-76.4965691,44.2261474
"82","Case Western Reserve University.",284,1960,2012,-81.6083838,41.5043413
"83","Drew University.",282,1934,2012,-74.4281995,40.7611058
"84","Fordham University.",273,1961,2013,-73.885758,40.8616045
"85","Texas A&M University.",263,1972,2012,-99.9018131,31.9685988
"86","The University of Utah.",260,1961,2013,-111.8421021,40.7649368
"87","Rice University.",244,1953,2012,-95.4018312,29.7173941
"88","Washington State University.",239,1955,2012,-117.154422,46.7319374
"89","Kent State University.",238,1966,2012,-81.3414649,41.1490629
"90","University of Illinois at Chicago.",237,1972,2012,-87.6478309,41.8678673
"91","Purdue University.",237,1956,2012,-86.9211946,40.4237054
"92","University of Cincinnati.",231,1964,2012,-84.5149504,39.1329219
"93","Loyola University Chicago.",231,1971,2013,-87.6566204,41.9985666
"94","Howard University.",223,1966,2012,-77.0194377,38.9226843
"95","Texas Christian University.",219,1967,2013,-97.3637239,32.7078459
"96","Ohio University.",218,1976,2013,-82.1014242,39.3243417
"97","The University of British Columbia (Canada).",217,1968,2007,-123.2539612,49.2669848
"98","Marquette University.",212,1973,2013,-87.9304238,43.0388508
"99","The University of Tennessee.",212,1965,2007,-83.9294564,35.9544013
"100","Universite Laval (Canada).",203,1970,2006,-71.2748145,46.7819799
"101","Boston University Graduate School.",198,1948,1983,-71.0888609,42.3382852
"102","The University of Alabama.",196,1960,2013,-87.5474349,33.2144445
"103","Graduate Theological Union.",195,1973,2012,-122.2618454,37.8755361
"104","The College of William and Mary.",193,1972,2013,-76.7169032,37.2723284
"105","Bryn Mawr College.",193,1937,2013,-75.3143902,40.0266576
"106","University of California, Santa Cruz.",192,1974,2013,-122.0608718,36.9913856
"107","University of North Texas.",190,1970,2012,-97.1525862,33.207488
"108","The Southern Baptist Theological Seminary.",190,1975,2013,-85.6861488,38.2475149
"109","West Virginia University.",182,1968,2012,-79.9559358,39.6361396
"110","University of Houston.",181,1970,2012,-95.3422334,29.7199489
"111","Bowling Green State University.",180,1977,2012,-83.6300826,41.3797788
"112","University of Denver.",179,1964,2013,-104.9618965,39.6766174
"113","Universite de Montreal (Canada).",177,1991,2013,-73.6137592,45.5056156
"114","Texas Tech University.",169,1960,2004,-101.8782822,33.5842591
"115","Auburn University.",168,1971,2012,-85.4951663,32.5933574
"116","State University of New York at Albany.",166,1971,2013,-73.822852,42.686744
"117","Northern Illinois University.",165,1966,2013,-88.773718,41.934299
"118","University of Ottawa (Canada).",163,1959,2013,-75.6798172,45.4209014
"120","University of Alberta (Canada).",156,1984,2013,-113.5259951,53.5234543
"121","Southern Illinois University at Carbondale.",150,1971,2012,-89.2521413,37.7770916
"122","Southwestern Baptist Theological Seminary.",149,1985,2013,-97.3483457,32.6819836
"123","Wayne State University.",144,1961,2013,-83.0665462,42.3591388
