"","university","count","lon","lat"
"1","Columbia University.",3271,-73.9625727,40.8075355
"2","The University of Wisconsin - Madison.",2418,-89.4124875,43.076592
"3","University of California, Berkeley.",2281,-122.2505629,37.8739132
"4","Yale University.",2211,-72.9223431,41.3163244
"5","University of California, Los Angeles.",2162,-118.4451812,34.068921
"6","New York University.",2118,-73.9964609,40.7295134
"7","Harvard University.",2060,-71.1166601,42.3770029
"8","University of Michigan.",1934,-83.7382259,42.2780584
"9","University of Pennsylvania.",1848,-75.1932137,39.9522188
"10","The University of Chicago.",1793,-87.5987133,41.7886079
"11","Princeton University.",1678,-74.6514481,40.3439888
"12","Indiana University.",1541,-86.5149053,39.1691355
"13","University of Minnesota.",1483,-93.2277285,44.97399
"14","Stanford University.",1369,-122.169719,37.4274745
"15","The University of Texas at Austin.",1315,-97.7327641,30.2806543
"16","University of Toronto (Canada).",1284,-79.1859984,43.7847122
"17","The University of North Carolina at Chapel Hill.",1263,-79.0469134,35.9049122
"18","University of Virginia.",1219,-78.5079772,38.0335529
"19","The Ohio State University.",1208,-83.0310846,40.0138423
"20","Duke University.",1079,-78.9382286,36.0014258
"21","University of Illinois at Urbana-Champaign.",1076,-88.2271615,40.1019523
"22","The Johns Hopkins University.",1068,-76.6233538,39.3249281
"23","Cornell University.",993,-76.4735027,42.4534492
"24","City University of New York.",966,-73.9478026,40.7712656
"25","Northwestern University.",954,-87.6748758,42.0539102
"26","University of Washington.",933,-122.3035191,47.6553354
"27","Rutgers The State University of New Jersey - New Brunswick.",882,-74.4473434,40.5009561
"28","University of Maryland, College Park.",854,-76.9428679,38.9869367
"29","The University of Iowa.",785,-91.5548998,41.6626963
"30","University of California, Santa Barbara.",779,-119.848947,34.4139629
"31","University of Pittsburgh.",733,-79.960835,40.4443533
"32","The Florida State University.",703,-84.2984889,30.4418778
"33","Emory University.",700,-84.3239795,33.7920794
"34","Michigan State University.",669,-84.4791506,42.7041949
"35","University of Kansas.",668,-95.251663,38.9544238
"36","Brown University.",651,-71.4025625,41.8267175
"37","Temple University.",614,-75.1546786,39.9820942
"38","University of Notre Dame.",554,-86.2353067,41.7052193
"39","Boston University.",544,-71.1073183,42.3507543
"40","Georgetown University.",532,-77.0722585,38.9076089
"41","University of Southern California.",510,-118.2851232,34.0223383
"42","State University of New York at Buffalo.",492,-78.8170273,42.953672
"43","The Pennsylvania State University.",481,-77.8599084,40.7982133
"44","University of Missouri - Columbia.",477,-92.3277375,38.9403808
"45","Brandeis University.",474,-71.258595,42.3654347
"46","The University of Arizona.",459,-110.9553864,32.2321012
"47","State University of New York at Binghamton.",457,-75.9669692,42.0888268
"48","Saint Louis University.",453,-90.2326947,38.6357012
"49","Vanderbilt University.",444,-86.8027437,36.1443747
"50","University of California, San Diego.",439,-117.2421885,32.8803981
"51","Syracuse University.",439,-76.1351158,43.0391534
"52","The Catholic University of America.",434,-76.998692,38.9368811
"53","University of Colorado at Boulder.",424,-105.2659419,40.0075811
"54","University of Florida.",421,-82.346394,29.645264
"55","The Claremont Graduate University.",417,-117.714337,34.1028769
"56","McGill University (Canada).",414,-73.5771511,45.5047847
"57","The University of New Mexico.",409,-106.6197553,35.0843441
"58","The George Washington University.",393,-77.0474734,38.9007683
"59","The University of Oklahoma.",387,-97.4457137,35.2058936
"60","University of Massachusetts Amherst.",384,-72.5265441,42.3910761
"61","Tulane University.",382,-90.1207279,29.9403477
"62","University of California, Irvine.",380,-117.8442962,33.6404952
"63","York University (Canada).",378,-79.5018684,43.7734535
"64","University of Kentucky.",377,-84.5039697,38.0306511
"65","University of South Carolina.",377,-81.0274276,33.996112
"66","University of Rochester.",375,-77.6260033,43.1305531
"67","State University of New York at Stony Brook.",375,-73.1235863,40.9130959
"68","University of Connecticut.",363,-72.2539805,41.8077414
"69","University of Hawai'i at Manoa.",352,-157.8176117,21.2998136
"70","University of Delaware.",349,-75.7506113,39.6779505
"71","Boston College.",347,-71.1684945,42.3355488
"72","University of Oregon.",340,-123.0726062,44.0448303
"73","Arizona State University.",334,-112.0730317,33.4535269
"74","Louisiana State University and Agricultural & Mechanical College.",333,-91.1736224,30.4052164
"75","University of California, Davis.",328,-121.7617125,38.5382322
"76","Loyola University Chicago.",326,-87.6566204,41.9985666
"77","The University of Nebraska - Lincoln.",323,-96.6475965,40.838785
"78","Washington University in St. Louis.",319,-90.3107962,38.6487895
"79","American University.",316,-77.0908767,38.9368448
"80","University of Georgia.",309,-83.3773221,33.9480053
"81","University of California, Riverside.",300,-117.3281109,33.973287
"82","Case Western Reserve University.",294,-81.6083838,41.5043413
"83","Texas A&M University.",290,-99.9018131,31.9685988
"84","Queen's University (Canada).",287,-76.4965691,44.2261474
"85","Fordham University.",285,-73.885758,40.8616045
"86","Drew University.",284,-74.4281995,40.7611058
"87","The University of Utah.",279,-111.8421021,40.7649368
"88","Kent State University.",253,-81.3414649,41.1490629
"89","Purdue University.",248,-86.9211946,40.4237054
"90","Washington State University.",248,-117.154422,46.7319374
"91","University of Illinois at Chicago.",246,-87.6478309,41.8678673
"92","Rice University.",245,-95.4018312,29.7173941
"93","University of Cincinnati.",238,-84.5149504,39.1329219
"94","Marquette University.",234,-87.9304238,43.0388508
"95","University of North Texas.",232,-97.1525862,33.207488
"96","The University of British Columbia (Canada).",230,-123.2539612,49.2669848
"97","Howard University.",225,-77.0194377,38.9226843
"98","Ohio University.",225,-82.1014242,39.3243417
"99","Texas Christian University.",223,-97.3637239,32.7078459
"100","The University of Tennessee.",216,-83.9294564,35.9544013
"101","Universite Laval (Canada).",207,-71.2748145,46.7819799
"102","The University of Alabama.",204,-87.5474349,33.2144445
"103","Boston University Graduate School.",198,-71.0888609,42.3382852
"104","The College of William and Mary.",195,-76.7169032,37.2723284
"105","Graduate Theological Union.",195,-122.2618454,37.8755361
"106","Bryn Mawr College.",195,-75.3143902,40.0266576
"107","Southern Illinois University at Carbondale.",194,-89.2521413,37.7770916
"108","University of California, Santa Cruz.",193,-122.0608718,36.9913856
"109","University of Denver.",190,-104.9618965,39.6766174
"110","The Southern Baptist Theological Seminary.",190,-85.6861488,38.2475149
"111","Bowling Green State University.",186,-83.6300826,41.3797788
"112","West Virginia University.",183,-79.9559358,39.6361396
"113","Universite de Montreal (Canada).",182,-73.6137592,45.5056156
"114","University of Houston.",182,-95.3422334,29.7199489
"115","State University of New York at Albany.",175,-73.822852,42.686744
"116","The Union Institute.",170,120.4884928,16.2280926
"117","Texas Tech University.",170,-101.8782822,33.5842591
"118","Auburn University.",168,-85.4951663,32.5933574
"119","University of Ottawa (Canada).",167,-75.6798172,45.4209014
"120","Northern Illinois University.",166,-88.773718,41.934299
"121","University of Alberta (Canada).",165,-113.5259951,53.5234543
"122","Georgia State University.",160,-84.3852819,33.753068
"123","The University of Mississippi.",158,-89.5384565,34.3647402
"124","Wayne State University.",156,-83.0665462,42.3591388
"125","Southwestern Baptist Theological Seminary.",150,-97.3483457,32.6819836
"126","Miami University.",149,-84.7308768,39.5105334
"127","The University of Western Ontario (Canada).",140,-81.2737336,43.0095971
"128","McMaster University (Canada).",137,-79.9192254,43.260879
"129","The Chinese University of Hong Kong (Hong Kong).",137,114.2077357,22.417282
"130","Oklahoma State University.",136,-97.0737222,36.1270236
"131","Carleton University (Canada).",135,-75.6960202,45.3875812
"132","New School for Social Research.",134,-73.994412,40.735589
"133","Princeton Theological Seminary.",134,-74.6639375,40.3448966
"134","University of Miami.",134,-80.2781784,25.7179436
"135","The University of Maine.",133,-68.6687076,44.897732
"136","University of Arkansas.",131,-94.1736551,36.0678324
"137","George Mason University.",129,-77.308037,38.8321941
"138","Carnegie Mellon University.",127,-79.9425528,40.4424925
"139","University of New Hampshire.",126,-70.9370252,43.138948
"140","Mississippi State University.",126,-88.7901613,33.4548567
"141","St. John's University (New York).",123,-74.0126713,40.7154084
"142","Baylor University.",123,-97.1184377,31.5482204
"143","Kansas State University.",118,-96.5847249,39.1974437
"144","Iowa State University.",116,-93.6464654,42.0266187
"145","University of Calgary (Canada).",105,-114.1358007,51.0781599
"146","Clark University.",103,-71.8222312,42.250386
"147","University of Manitoba (Canada).",101,-97.1366259,49.8075008
"148","The University of Southern Mississippi.",101,-89.3357393,31.3310077
"149","The University of Toledo.",100,-83.6126979,41.6621416
"150","The University of Wisconsin - Milwaukee.",99,-87.8819686,43.078263
"151","Ball State University.",95,-85.4088412,40.1972366
"152","Fletcher School of Law and Diplomacy (Tufts University).",94,-71.1216018,42.4077821
"153","Union Institute and University.",92,-72.5562286,42.8502571
"154","Concordia University (Canada).",89,-73.6400637,45.4585652
"155","Simon Fraser University (Canada).",89,-122.9198833,49.2780937
"156","New School University.",87,-73.994412,40.735589
"157","Tufts University.",87,-71.1190229,42.4074843
"158","The University of Texas at Arlington.",86,-97.1183636,32.7284834
"159","Lehigh University.",86,-75.3782832,40.6069087
"160","Brigham Young University.",84,-111.6493177,40.2518429
"161","The University of Memphis.",76,-89.9371249,35.1189522
"162","Dalhousie University (Canada).",74,-63.5895754,44.6369358
"163","The University of Texas at Dallas.",72,-96.7459305,32.9843468
"164","Northern Arizona University.",72,-111.6514545,35.1893974
"165","Virginia Polytechnic Institute and State University.",65,-80.4234167,37.2283843
"166","The University of Akron.",65,-81.5102535,41.0763656
"167","Union Theological Seminary.",63,-73.9618097,40.8114022
