city,state,church,organized,members,minister,citation,jlat,jlon,url
Andover,MA,South,1711,271,Charles Smith,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6534091934,-71.138231606,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Andover,MA,West,1826,224,C. H. Pierce,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6528890409,-71.1356733949,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Andover,MA,North,1834,83,W. T. Briggs,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6507755349,-71.1337240867,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Andover,MA,Theological Seminary,NA,NA,R. Emerson,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6634882222,-71.1269848897,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Chelmsford,MA,North,1824,88,B. F. Clark,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.5998139,-71.3672838,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Dracut,MA,First Evangelical Church,1721,88,G. W. Thompson,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6771505775,-71.3074010253,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Dracut,MA,West,1797,102,B. Emerson,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6621703571,-71.2928757413,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Dracut,MA,East,1835,36,J. Merril,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6749620516,-71.3022723678,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lawrence,MA,First Church,1847,152,H. M. Storrs,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.7071674169,-71.1716947155,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lawrence,MA,Central Church,1849,147,W. C. Foster,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.7022403037,-71.1709268135,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lowell,MA,First Church,1826,734,W. Child,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.641136656,-71.3203425018,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lowell,MA,Appleton Street Church,1831,392,George Darling,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6362181007,-71.3131097225,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lowell,MA,John Street Church,1839,478,E. B. Foster,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6405706656,-71.3193209898,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lowell,MA,Kirk Street Church,1845,257,A. Blanchard,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6417544021,-71.3242569646,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Lowell,MA,High Street Church,1846,151,J. H. Towne,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6354685909,-71.3098904888,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Methuen,MA,,1729,245,J. C. Phillips,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.7262016,-71.1908924,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Tewksbury,MA,,1734,144,J. Coggin; R. Tolman,The Year-book of the American Congregational Union for the Year 1854 (p. 45),42.6106478,-71.2342248,https://archive.org/stream/americancongrega04amer#page/45/mode/1up
Adams,MA,North,1827,208,R. Crawford,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.6289172278,-73.1103156655,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Adams,MA,South,1840,94,J. Jay Dana,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.6232995047,-73.124741848,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Becket,MA,North,1849,92,C. H. Norton,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.3329367092,-73.0933599678,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Dalton,MA,,1785,80,O. M. Sears,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4736959,-73.1662138,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
Hinsdale,MA,,1795,185,P. K. Clark,The Year-book of the American Congregational Union for the Year 1854 (p. 46),42.4386967,-73.1253799,https://archive.org/stream/americancongrega04amer#page/46/mode/1up
