"","gisjoin","year","diff","male","female"
"1","G0100010",1820,0.03,2041,1812
"2","G0100030",1820,0.029,907,806
"3","G0100090",1820,0.008,1228,1187
"4","G0100130",1820,0.02,730,675
"5","G0100135",1820,0.023,1924,1752
"6","G0100250",1820,0.023,3054,2785
"7","G0100350",1820,0.025,3000,2713
"8","G0100375",1820,0.009,2681,2582
"9","G0100470",1820,0.041,3250,2753
"10","G0100590",1820,0.035,2671,2317
"11","G0100630",1820,0.022,2378,2176
"12","G0100670",1820,0.053,1460,1178
"13","G0100710",1820,0.019,4540,4211
"14","G0100770",1820,0.044,2698,2265
"15","G0100790",1820,0.028,4571,4081
"16","G0100830",1820,0.024,5168,4703
"17","G0100890",1820,0.039,9418,8063
"18","G0100910",1820,0.037,1575,1358
"19","G0100970",1820,0.113,1637,1035
"20","G0100990",1820,0.026,4652,4186
"21","G0101010",1820,0.033,3517,3087
"22","G0101050",1820,0.033,1943,1703
"23","G0101150",1820,0.028,2201,1965
"24","G0101170",1820,0.024,1266,1150
"25","G0101250",1820,0.02,4277,3952
"26","G0101290",1820,0.076,2373,1745
"27","G0101310",1820,0.07,1664,1253
"28","G0550015",1820,0.082,733,527
"29","G0550055",1820,0.037,559,481
"30","G0550135",1820,0.027,1184,1062
"31","G0550275",1820,0.04,3021,2571
"32","G0550295",1820,0.059,558,441
"33","G0550335",1820,0.063,674,523
"34","G0550375",1820,0.076,1106,815
"35","G0900010",1820,-0.004,21189,21545
"36","G0900030",1820,-0.008,23239,24025
"37","G0900050",1820,-0.007,20314,20859
"38","G0900070",1820,-0.017,10824,11580
"39","G0900090",1820,-0.014,19264,20346
"40","G0900110",1820,-0.021,17206,18737
"41","G0900130",1820,-0.008,7050,7280
"42","G0900150",1820,-0.01,15535,16149
"43","G1000010",1820,0.006,10530,10263
"44","G1000030",1820,0.007,14157,13742
"45","G1000050",1820,0.009,12252,11805
"46","G1300010",1820,-0.006,624,640
"47","G1300090",1820,0.03,4099,3635
"48","G1300290",1820,0.004,1523,1498
"49","G1300310",1820,0.01,1314,1264
"50","G1300330",1820,0.014,5953,5624
"51","G1300390",1820,0.044,2360,1981
"52","G1300510",1820,0.001,7378,7359
"53","G1300590",1820,0.01,4472,4295
"54","G1300730",1820,0.009,6458,6237
"55","G1300990",1820,0.053,425,343
"56","G1301030",1820,0.044,1642,1376
"57","G1301050",1820,0.006,5966,5822
"58","G1301070",1820,0.005,1479,1449
"59","G1301190",1820,0.016,4668,4372
"60","G1301270",1820,0.018,1772,1646
"61","G1301330",1820,0.01,6937,6652
"62","G1301350",1820,0.003,2310,2279
"63","G1301370",1820,0.021,1640,1505
"64","G1301390",1820,0.002,2555,2531
"65","G1301410",1820,0.023,6656,6078
"66","G1301550",1820,-0.016,199,212
"67","G1301570",1820,-0.002,4159,4196
"68","G1301590",1820,0.021,7617,6997
"69","G1301630",1820,0.01,3596,3458
"70","G1301690",1820,0.019,8592,7978
"71","G1301750",1820,0.011,2777,2659
"72","G1301790",1820,0.008,3403,3292
"73","G1301810",1820,0.017,3341,3117
"74","G1301910",1820,0.026,2697,2432
"75","G1301950",1820,-0.004,1853,1882
"76","G1302090",1820,-0.002,930,939
"77","G1302110",1820,0.019,7013,6507
"78","G1302210",1820,0.011,7171,6875
"79","G1302350",1820,0.023,2762,2521
"80","G1302370",1820,0.007,7849,7626
"81","G1302410",1820,0.006,265,259
"82","G1302450",1820,0.05,4734,3874
"83","G1302510",1820,0.024,2064,1877
"84","G1302670",1820,0.015,1361,1283
"85","G1302710",1820,0.019,1092,1012
"86","G1302890",1820,0.016,5495,5145
"87","G1302970",1820,0.005,2116,2076
"88","G1303010",1820,0.008,5405,5225
"89","G1303030",1820,0.01,5424,5203
"90","G1303050",1820,0.01,515,495
"91","G1303170",1820,0.008,8942,8664
"92","G1303190",1820,0.01,3568,3424
"93","G1700030",1820,-0.032,293,333
"94","G1700050",1820,0.036,1572,1359
"95","G1700230",1820,0.026,490,441
"96","G1700330",1820,0.023,1568,1431
"97","G1700470",1820,0.044,1872,1572
"98","G1700550",1820,0.016,909,854
"99","G1700590",1820,0.08,1829,1326
"100","G1700770",1820,0.063,868,674
"101","G1700810",1820,0.062,388,303
"102","G1700870",1820,0.021,439,404
"103","G1701190",1820,0.063,7622,5928
"104","G1701330",1820,0.055,841,675
"105","G1701510",1820,0.013,1338,1272
"106","G1701570",1820,0.05,1921,1571
"107","G1701630",1820,0.064,2959,2289
"108","G1701810",1820,0.037,1268,1094
"109","G1701890",1820,0.064,855,662
"110","G1701910",1820,0.017,576,538
"111","G1701930",1820,0.034,2578,2250
"112","G1800190",1820,0.022,4546,4163
"113","G1800250",1820,0.034,1380,1203
"114","G1800270",1820,0.032,1825,1607
"115","G1800290",1820,0.029,6072,5396
"116","G1800350",1820,0.022,1918,1759
"117","G1800370",1820,0.027,615,553
"118","G1800410",1820,0.022,3105,2845
"119","G1800430",1820,0.028,1467,1309
"120","G1800470",1820,0.013,5522,5241
"121","G1800510",1820,0.036,2079,1797
"122","G1800610",1820,0.017,4074,3801
"123","G1800710",1820,0.03,2126,1884
"124","G1800770",1820,0.021,4188,3850
"125","G1800790",1820,0.031,1062,938
"126","G1800830",1820,0.051,2997,2440
"127","G1800930",1820,0.025,2159,1957
"128","G1801010",1820,0.091,610,422
"129","G1801050",1820,0.032,1424,1255
"130","G1801170",1820,0.018,2782,2586
"131","G1801190",1820,0.055,465,373
"132","G1801230",1820,0.026,1225,1105
"133","G1801250",1820,0.035,788,684
"134","G1801290",1820,0.019,2107,1954
"135","G1801350",1820,0.026,951,857
"136","G1801370",1820,0.01,929,893
"137","G1801430",1820,0.03,1237,1097
"138","G1801470",1820,0.022,982,900
"139","G1801530",1820,0.033,1866,1632
"140","G1801550",1820,0.027,2075,1859
"141","G1801630",1820,0.031,954,844
"142","G1801670",1820,0.066,1919,1471
"143","G1801675",1820,-0.01,72,75
"144","G1801730",1820,0.031,928,821
"145","G1801750",1820,0.015,4659,4380
"146","G1801770",1820,0.019,6293,5826
"147","G2100010",1820,0.006,4432,4333
"148","G2100030",1820,-0.014,2591,2736
"149","G2100090",1820,0.007,5237,5091
"150","G2100110",1820,0.016,4106,3855
"151","G2100150",1820,0.022,3415,3127
"152","G2100170",1820,-0.004,8770,8894
"153","G2100230",1820,0.008,2680,2600
"154","G2100270",1820,0.015,3857,3628
"155","G2100290",1820,0.019,3024,2807
"156","G2100310",1820,0.01,1573,1510
"157","G2100330",1820,0.013,4625,4397
"158","G2100370",1820,0.016,3620,3402
"159","G2100450",1820,-0.008,2138,2211
"160","G2100470",1820,0.006,5297,5162
"161","G2100490",1820,0.011,5853,5596
"162","G2100510",1820,0.031,2332,2061
"163","G2100570",1820,0.009,4098,3960
"164","G2100590",1820,0.011,1979,1897
"165","G2100650",1820,0.02,1824,1683
"166","G2100670",1820,0.004,11729,11521
"167","G2100690",1820,0.004,6145,6041
"168","G2100710",1820,0.028,4337,3870
"169","G2100730",1820,0.02,5697,5253
"170","G2100770",1820,0.014,3634,3441
"171","G2100790",1820,-0.002,5401,5450
"172","G2100810",1820,0.012,924,881
"173","G2100850",1820,0.004,2042,2013
"174","G2100870",1820,0.019,6204,5739
"175","G2100890",1820,0.034,2303,2008
"176","G2100930",1820,0.007,5325,5173
"177","G2100950",1820,0.016,1012,949
"178","G2100970",1820,-0.005,6073,6205
"179","G2100990",1820,0.008,2125,2059
"180","G2101010",1820,0.015,2945,2769
"181","G2101030",1820,0.006,5472,5344
"182","G2101070",1820,0.004,2684,2638
"183","G2101110",1820,0.042,11263,9503
"184","G2101130",1820,0.021,4842,4455
"185","G2101210",1820,0.008,1860,1801
"186","G2101350",1820,0.018,2058,1915
"187","G2101370",1820,0.006,5045,4928
"188","G2101390",1820,0.015,3001,2823
"189","G2101410",1820,0.023,7547,6876
"190","G2101510",1820,0.011,8146,7808
"191","G2101610",1820,0.027,7164,6424
"192","G2101670",1820,0.018,8015,7472
"193","G2101710",1820,0.011,2531,2425
"194","G2101730",1820,0.005,4840,4747
"195","G2101770",1820,0.007,2522,2457
"196","G2101790",1820,0.026,8560,7713
"197","G2101810",1820,-0.002,3970,4003
"198","G2101830",1820,0.027,2046,1833
"199","G2101870",1820,0.013,1041,990
"200","G2101910",1820,0.012,1580,1506
"201","G2101990",1820,0.015,3910,3687
"202","G2102030",1820,-0.006,1111,1138
"203","G2102090",1820,0.02,7397,6822
"204","G2102110",1820,0.006,10645,10402
"205","G2102130",1820,-0.002,2417,2435
"206","G2102190",1820,0.009,2588,2501
"207","G2102210",1820,0.026,2036,1838
"208","G2102250",1820,0.022,1810,1660
"209","G2102270",1820,0.025,6186,5590
"210","G2102290",1820,0.005,8050,7897
"211","G2102310",1820,0.006,4020,3931
"212","G2102350",1820,0.017,1210,1130
"213","G2102390",1820,0.007,6189,6018
"214","G2200050",1820,0.048,2043,1685
