"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
10093,"Abakanowicz, Magdalena","Female","born 1930",1930,NA,"Polska","","http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093",19.1451,51.9194,19.1451,51.9194,NA,NA,NA
0,"Abbey, Edwin Austin","Male","1852–1911",1852,1911,"Philadelphia, United States","London, United Kingdom","http://www.tate.org.uk/art/artists/edwin-austin-abbey-0",-75.1652,39.9526,-75.1652,39.9526,-0.127758,51.5074,"london, uk"
2756,"Abbott, Berenice","Female","1898–1991",1898,1991,"Springfield, United States","Monson, United States","http://www.tate.org.uk/art/artists/berenice-abbott-2756",-72.5898,42.1015,-72.5898,42.1015,-72.319,42.1042,"monson, ma, usa"
1,"Abbott, Lemuel Francis","Male","1760–1803",1760,1803,"Leicestershire, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1",-1.14059,52.7401,-1.14059,52.7401,-0.127758,51.5074,"london, uk"
622,"Abrahams, Ivor","Male","born 1935",1935,NA,"Wigan, United Kingdom","","http://www.tate.org.uk/art/artists/ivor-abrahams-622",-2.63251,53.5451,-2.63251,53.5451,NA,NA,NA
2606,"Absalon","Male","1964–1993",1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France","http://www.tate.org.uk/art/artists/absalon-2606",34.7818,32.0853,34.7818,32.0853,2.35222,48.8566,"paris, france"
9550,"Abts, Tomma","Female","born 1967",1967,NA,"Kiel, Deutschland","","http://www.tate.org.uk/art/artists/tomma-abts-9550",10.1228,54.3233,10.1228,54.3233,NA,NA,NA
623,"Acconci, Vito","Male","born 1940",1940,NA,"New York, United States","","http://www.tate.org.uk/art/artists/vito-acconci-623",-74.0059,40.7128,-74.0059,40.7128,NA,NA,NA
624,"Ackling, Roger","Male","1947–2014",1947,2014,"Isleworth, United Kingdom","","http://www.tate.org.uk/art/artists/roger-ackling-624",-0.329003,51.4671,-0.329003,51.4671,NA,NA,NA
625,"Ackroyd, Norman","Male","born 1938",1938,NA,"Leeds, United Kingdom","","http://www.tate.org.uk/art/artists/norman-ackroyd-625",-1.54908,53.8008,-1.54908,53.8008,NA,NA,NA
2411,"Adam, Robert","Male","1728–1792",1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/robert-adam-2411",-3.15814,56.1168,-3.15814,56.1168,-0.127758,51.5074,"london, uk"
626,"Adams, Harry William","Male","1868–1947",1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom","http://www.tate.org.uk/art/artists/harry-william-adams-626",-2.22158,52.1936,-2.22158,52.1936,-2.22158,52.1936,"worcester, worcester, uk"
627,"Adams, Norman","Male","1927–2005",1927,2005,"London, United Kingdom","","http://www.tate.org.uk/art/artists/norman-adams-627",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
628,"Adams, Robert","Male","1917–1984",1917,1984,"Northampton, United Kingdom","","http://www.tate.org.uk/art/artists/robert-adams-628",-0.902656,52.2405,-0.902656,52.2405,NA,NA,NA
629,"Adeney, Bernard","Male","1878–1966",1878,1966,"London, United Kingdom","","http://www.tate.org.uk/art/artists/bernard-adeney-629",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
630,"Adler, Jankel","Male","1895–1949",1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom","http://www.tate.org.uk/art/artists/jankel-adler-630",19.5349,51.6104,19.5349,51.6104,-1.62053,51.4792,"aldbourne, wiltshire, uk"
2608,"Adshead, Mary","Female","1904–1995",1904,1995,"London, United Kingdom","Hampstead, United Kingdom","http://www.tate.org.uk/art/artists/mary-adshead-2608",-0.127758,51.5074,-0.127758,51.5074,-0.176203,51.5557,"hampstead, london nw3, uk"
631,"Adzak, Roy","Male","1927–1987",1927,1987,"Reading, United Kingdom","Paris, France","http://www.tate.org.uk/art/artists/roy-adzak-631",-0.97813,51.4543,-0.97813,51.4543,2.35222,48.8566,"paris, france"
632,"Afro","Male","1912–1976",1912,1976,"Udine, Italia","Zürich, Schweiz","http://www.tate.org.uk/art/artists/afro-afro-basaldella-632",13.2346,46.0711,13.2346,46.0711,8.53918,47.3686,"zurich, switzerland"
633,"Agar, Eileen","Female","1899–1991",1899,1991,"Ayacucho, Argentina","London, United Kingdom","http://www.tate.org.uk/art/artists/eileen-agar-633",-58.483,-37.1503,-58.483,-37.1503,-0.127758,51.5074,"london, uk"
2,"Agasse, Jacques Laurent","Male","1767–1849",1767,1849,"Genève, Schweiz","London, United Kingdom","http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2",6.1423,46.1984,6.1423,46.1984,-0.127758,51.5074,"london, uk"
3098,"Ahtila, Eija-Liisa","Female","born 1959",1959,NA,"Hämeenlinna, Suomi","","http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098",24.4673,60.9936,24.4673,60.9936,NA,NA,NA
8208,"Ai, Weiwei","Male","born 1957",1957,NA,"Beijing, Zhonghua","","http://www.tate.org.uk/art/artists/ai-weiwei-8208",116.88,40.1856,116.88,40.1856,NA,NA,NA
634,"Aitchison, Craigie","Male","1926–2009",1926,2009,"Edinburgh, United Kingdom","","http://www.tate.org.uk/art/artists/craigie-aitchison-634",-3.18827,55.9533,-3.18827,55.9533,NA,NA,NA
635,"Ajmone, Giuseppe","Male","1923–2005",1923,2005,"Carpignano Sesia, Italia","","http://www.tate.org.uk/art/artists/giuseppe-ajmone-635",8.41645,45.5329,8.41645,45.5329,NA,NA,NA
