"ID","Artist","First Name","Last Name","Hammer price","Average Price","Artwork Title","Date Created","Day","Month","Auction House","City","lat","lon"
40,"Wang Shimin","Shimin","Wang","16,569,000",1.77437e+07,"Landscapes",1647,5,"november","(Sungari International BEIJING)","Beijing","39.907288","116.399519"
70,"Zhu Da","Da","Zhu","10,055,500",1.77437e+07,"Lotus",1699,21,"june","(Beijing Chieftown BEIJING)","Beijing","39.907288","116.399519"
39,"Wang Hui","Hui","Wang","17,435,000",1.77437e+07,"Landscape inspired by tang poems",1710,13,"november","(China Guardian BEIJING)","Beijing","39.907288","116.399519"
16,"Qi Baishi","Baishi","Qi","26,786,500",1.77437e+07,"Landscape",1931,13,"november","(China Guardian BEIJING)","Beijing","39.907288","116.399519"
60,"Hong Yi","Yi","Hong","13,115,500",1.77437e+07,"Figure",1939,9,"june","(Beijing Jiuge International)","Beijing","39.907288","116.399519"
76,"Zhang Daqian","Daqian","Zhang","9,412,300",1.77437e+07,"Flowers",1944,9,"june","(Beijing Jiuge International)","Beijing","39.907288","116.399519"
6,"Xu Beihong","Beihong","Xu","36,679,200",1.77437e+07,"Cultivation on the peaceful land",1951,5,"december","(Poly International BEIJING)","Beijing","39.907288","116.399519"
57,"Wu Hufan","Hufan","Wu","13,553,600",1.77437e+07,"Landscape",1954,17,"november","(Beijing Hanhai Art BEIJING)","Beijing","39.907288","116.399519"
13,"Fu Baoshi","Baoshi","Fu","31,520,000",1.77437e+07,"Landscapes",1964,17,"november","(Beijing Hanhai Art BEIJING)","Beijing","39.907288","116.399519"
90,"Wu Guanzhong","Guanzhong","Wu","8,492,000",1.77437e+07,"Shrubalthea",1975,3,"june","(Poly International BEIJING)","Beijing","39.907288","116.399519"
99,"Huang Zhou","Zhou","Huang","8,116,499",1.77437e+07,"Horse training",1976,22,"may","(China Guardian BEIJING)","Beijing","39.907288","116.399519"
45,"Wu Guanzhong","Guanzhong","Wu","15,440,000",1.77437e+07,"Lion Woods",1988,3,"june","(Poly International BEIJING)","Beijing","39.907288","116.399519"
66,"Chen Yifei","Yifei","Chen","10,934,000",1.77437e+07,"Wind of Mountain Village",1994,24,"may","(China Guardian BEIJING)","Beijing","39.907288","116.399519"
80,"Fan Zeng","Zeng","Fan","9,258,000",1.77437e+07,"Figure",1997,9,"june","(Beijing Jiuge International)","Beijing","39.907288","116.399519"
69,"Wu Guanzhong","Guanzhong","Wu","10,244,000",1.77437e+07,"Former residence of Qiu Jin",2002,3,"december","(Poly International BEIJING)","Beijing","39.907288","116.399519"
61,"Qi Baishi","Baishi","Qi","12,765,600",1.77437e+07,"Banana trees",NA,17,"november","(Beijing Hanhai Art BEIJING)","Beijing","39.907288","116.399519"
51,"Su Shi","Shi","Su","14,677,500",1.77437e+07,"Bamboo and Stone",NA,16,"june","(Beijing Highest BEIJING)","Beijing","39.907288","116.399519"
87,"Qi Baishi","Baishi","Qi","8,695,500",1.77437e+07,"Landscape",NA,20,"november","(Beijing Highest BEIJING)","Beijing","39.907288","116.399519"
