"diocese","rite","lat","long","event","date"
"Baltimore, Maryland","Latin",39.2904,-76.6122,"erected","1789-04-06"
"New Orleans, Louisiana","Latin",29.9511,-90.0715,"erected","1793-04-25"
"Boston, Massachusetts","Latin",42.3584,-71.0598,"erected","1808-04-08"
"Louisville, Kentucky","Latin",38.2527,-85.7585,"erected","1808-04-08"
"New York, New York","Latin",40.7144,-74.006,"erected","1808-04-08"
"Philadelphia, Pennsylvania","Latin",39.9523,-75.1638,"erected","1808-04-08"
"Richmond, Virginia","Latin",37.5407,-77.436,"erected","1820-06-19"
"Charleston, South Carolina","Latin",32.7766,-79.9309,"erected","1820-07-11"
"Cincinnati, Ohio","Latin",39.1031,-84.512,"erected","1821-06-19"
"St. Louis, Missouri","Latin",38.627,-90.1994,"erected","1826-07-18"
"Mobile, Alabama","Latin",30.6944,-88.0431,"erected","1829-05-15"
"Birmingham, Alabama","Latin",33.5207,-86.8025,"erected","1969-06-28"
"Detroit, Michigan","Latin",42.3314,-83.0458,"erected","1833-03-08"
"Indianapolis, Indiana","Latin",39.7684,-86.1581,"erected","1834-04-12"
"Dubuque, Iowa","Latin",42.5006,-90.6646,"erected","1837-07-28"
"Nashville, Tennessee","Latin",36.1667,-86.7833,"erected","1837-07-28"
"Jackson, Mississippi","Latin",32.2988,-90.1848,"erected","1837-07-28"
"Los Angeles, California","Latin",34.0522,-118.244,"erected","1840-04-27"
"Pittsburgh","Latin",40.4406,-79.9959,"erected","1843-08-11"
"Hartford, Connecticut","Latin",41.7637,-72.6851,"erected","1843-09-18"
"Chicago, Illinois","Latin",41.8781,-87.6298,"erected","1843-11-28"
"Little Rock, Arkansas","Latin",34.7465,-92.2896,"erected","1843-11-28"
"Milwaukee, Wisconsin","Latin",43.0389,-87.9065,"erected","1843-11-28"
"Portland, Oregon","Latin",45.5235,-122.676,"erected","1846-07-24"
"Albany, New York","Latin",42.6526,-73.7562,"erected","1847-04-23"
"Buffalo, New York","Latin",42.8864,-78.8784,"erected","1847-04-23"
"Cleveland, Ohio","Latin",41.4995,-81.6954,"erected","1847-04-23"
"Galveston-Houston, Texas","Latin",29.7602,-95.3694,"erected","1847-04-23"
"Seattle, Washington","Latin",47.6062,-122.332,"erected","1850-05-31"
"Savannah, Georgia","Latin",32.0835,-81.0998,"erected","1850-07-03"
"St. Paul-Minneapolis, Minnesota","Latin",44.9375,-93.201,"erected","1850-07-19"
"Wheeling-Charleston, West Virginia","Latin",38.3451,-81.6331,"erected","1850-07-19"
"Erie, Pennsylvania","Latin",42.1292,-80.0851,"erected","1853-07-15"
"Alexandria, Louisiana","Latin",31.3113,-92.4451,"erected","1853-07-15"
"Brooklyn, New York","Latin",40.65,-73.95,"erected","1853-07-29"
"Burlington, Vermont","Latin",44.4759,-73.2121,"erected","1853-07-29"
"Covington, Kentucky","Latin",39.0837,-84.5086,"erected","1853-07-29"
"Newark, New Jersey","Latin",40.7357,-74.1724,"erected","1853-07-29"
"Portland, Maine","Latin",43.6615,-70.2553,"erected","1853-07-29"
"San Francisco, California","Latin",37.7749,-122.419,"erected","1853-07-29"
"Santa Fe, New Mexico","Latin",35.687,-105.938,"erected","1853-07-29"
"Springfield, Illinois","Latin",39.7817,-89.6501,"erected","1853-07-29"
"Marquette, Michigan","Latin",46.5476,-87.3956,"erected","1857-01-09"
"Fort Wayne-South Bend, Indiana","Latin",41.0541,-85.2202,"erected","1857-09-22"
"Sacramento, California","Latin",38.5816,-121.494,"erected","1868-02-03"
"La Crosse, Wisconsin","Latin",43.8014,-91.2396,"erected","1868-02-08"
"Columbus, Ohio","Latin",39.9612,-82.9988,"erected","1868-03-03"
"Green Bay, Wisconsin","Latin",44.5192,-88.0198,"erected","1868-03-03"
"Harrisburg, Pennsylvania","Latin",40.2737,-76.8844,"erected","1868-03-03"
"Rochester, New York","Latin",43.161,-77.6109,"erected","1868-03-03"
"Wilmington, Delaware","Latin",39.7458,-75.5467,"erected","1868-03-09"
"Scranton, Pennsylvania","Latin",41.409,-75.6624,"erected","1868-11-05"
"St. Augustine, Florida","Latin",29.8943,-81.3132,"erected","1870-03-11"
"Springfield, Massachusetts","Latin",42.1015,-72.5898,"erected","1870-06-14"
"Providence, Rhode Island","Latin",41.824,-71.4128,"erected","1872-01-31"
"Ogdensburg, New York","Latin",44.6942,-75.4863,"erected","1872-02-15"
"San Antonio, Texas","Latin",29.4241,-98.4936,"erected","1874-09-03"
"Peoria, Illinois","Latin",40.6936,-89.589,"erected","1875-02-12"
"Kansas City, Kansas","Latin",39.1141,-94.6275,"erected","1877-05-22"
"Kansas City-St. Joseph, Missouri","Latin",39.7579,-94.8365,"erected","1880-09-10"
"Davenport, Iowa","Latin",41.5236,-90.5776,"erected","1881-05-08"
"Trenton, New Jersey","Latin",40.2171,-74.7429,"erected","1881-07-15"
"Grand Rapids, Michigan","Latin",42.9634,-85.6681,"erected","1882-05-19"
"Helena, Montana","Latin",46.5958,-112.027,"erected","1884-03-07"
"Manchester, New Hampshire","Latin",42.9956,-71.4548,"erected","1884-04-15"
"Omaha, Nebraska","Latin",41.2524,-95.998,"erected","1885-10-02"
"Syracuse, New York","Latin",43.0481,-76.1474,"erected","1886-11-20"
"Belleville, Illinois","Latin",38.5201,-89.984,"erected","1887-01-07"
"Lincoln, Nebraska","Latin",40.8069,-96.6817,"erected","1887-08-02"
"Salina, Kansas","Latin",38.8403,-97.6114,"erected","1887-08-02"
"Wichita, Kansas","Latin",37.6889,-97.3361,"erected","1887-08-02"
"Denver, Colorado","Latin",39.7376,-104.985,"erected","1887-08-08"
"St. Cloud, Minnesota","Latin",45.5579,-94.1632,"erected","1889-09-22"
"Duluth, Minnesota","Latin",46.7867,-92.1005,"erected","1889-10-03"
"Fargo, North Dakota","Latin",46.8772,-96.7898,"erected","1889-11-12"
"Sioux Falls, South Dakota","Latin",43.55,-96.7003,"erected","1889-11-12"
"Winona, Minnesota","Latin",44.0479,-91.6404,"erected","1889-11-26"
"Dallas, Texas","Latin",32.7801,-96.8005,"erected","1890-07-15"
"Fort Worth, Texas","Latin",32.7254,-97.3208,"erected","1969-08-09"
"Salt Lake City, Utah","Latin",40.7608,-111.891,"erected","1891-01-27"
"Boise City, Idaho","Latin",43.6187,-116.215,"erected","1893-08-25"
"Tucson, Arizona","Latin",32.2217,-110.926,"erected","1897-05-08"
"Altoona-Johnstown, Pennsylvania","Latin",40.3557,-78.5163,"erected","1901-05-30"
"Sioux City, Iowa","Latin",42.5,-96.4003,"erected","1902-01-15"
"Rapid City, South Dakota","Latin",44.0805,-103.231,"erected","1902-08-04"
"Baker, Oregon","Latin",44.7749,-117.834,"erected","1903-06-19"
"Fall River, Massachusetts","Latin",41.7015,-71.155,"erected","1904-03-12"
"Great Falls-Billings, Montana","Latin",46.6291,-109.766,"erected","1904-05-18"
"Superior, Wisconsin","Latin",46.7208,-92.1041,"erected","1905-05-03"
"Oklahoma City, Oklahoma","Latin",35.4676,-97.5164,"erected","1905-08-23"
"Tulsa, Oklahoma","Latin",36.154,-95.9928,"erected","1972-12-13"
"Rockford, Illinois","Latin",42.2711,-89.094,"erected","1908-09-27"
"Bismarck, North Dakota","Latin",46.8083,-100.784,"erected","1909-12-31"
