country,gdp1800,gdp1801,gdp1802,gdp1803,gdp1804,gdp1805,gdp1806,gdp1807,gdp1808,gdp1809,gdp1810,gdp1811,gdp1812,gdp1813,gdp1814,gdp1815,gdp1816,gdp1817,gdp1818,gdp1819,gdp1820,gdp1821,gdp1822,gdp1823,gdp1824,gdp1825,gdp1826,gdp1827,gdp1828,gdp1829,gdp1830,gdp1831,gdp1832,gdp1833,gdp1834,gdp1835,gdp1836,gdp1837,gdp1838,gdp1839,gdp1840,gdp1841,gdp1842,gdp1843,gdp1844,gdp1845,gdp1846,gdp1847,gdp1848,gdp1849,gdp1850,gdp1851,gdp1852,gdp1853,gdp1854,gdp1855,gdp1856,gdp1857,gdp1858,gdp1859,gdp1860,gdp1861,gdp1862,gdp1863,gdp1864,gdp1865,gdp1866,gdp1867,gdp1868,gdp1869,gdp1870,gdp1871,gdp1872,gdp1873,gdp1874,gdp1875,gdp1876,gdp1877,gdp1878,gdp1879,gdp1880,gdp1881,gdp1882,gdp1883,gdp1884,gdp1885,gdp1886,gdp1887,gdp1888,gdp1889,gdp1890,gdp1891,gdp1892,gdp1893,gdp1894,gdp1895,gdp1896,gdp1897,gdp1898,gdp1899,gdp1900,gdp1901,gdp1902,gdp1903,gdp1904,gdp1905,gdp1906,gdp1907,gdp1908,gdp1909,gdp1910,gdp1911,gdp1912,gdp1913,gdp1914,gdp1915,gdp1916,gdp1917,gdp1918,gdp1919,gdp1920,gdp1921,gdp1922,gdp1923,gdp1924,gdp1925,gdp1926,gdp1927,gdp1928,gdp1929,gdp1930,gdp1931,gdp1932,gdp1933,gdp1934,gdp1935,gdp1936,gdp1937,gdp1938,gdp1939,gdp1940,gdp1941,gdp1942,gdp1943,gdp1944,gdp1945,gdp1946,gdp1947,gdp1948,gdp1949,gdp1950,gdp1951,gdp1952,gdp1953,gdp1954,gdp1955,gdp1956,gdp1957,gdp1958,gdp1959,gdp1960,gdp1961,gdp1962,gdp1963,gdp1964,gdp1965,gdp1966,gdp1967,gdp1968,gdp1969,gdp1970,gdp1971,gdp1972,gdp1973,gdp1974,gdp1975,gdp1976,gdp1977,gdp1978,gdp1979,gdp1980,gdp1981,gdp1982,gdp1983,gdp1984,gdp1985,gdp1986,gdp1987,gdp1988,gdp1989,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,634.4,636.462,638.531,640.607,642.69,644.779,646.875,648.978,651.088,653.204,655.328,657.458,659.595,661.74,663.891,666.049,668.214,670.387,672.566,674.752,676.946,679.147,681.354,683.569,685.792,688.021,690.258,692.502,694.753,697.011,699.277,701.55,703.831,706.119,708.415,710.718,713.028,715.346,717.671,720.004,722.345,724.693,727.049,729.413,731.784,734.163,736.55,738.944,741.346,743.756,746.174,748.6,751.033,753.475,755.924,758.382,760.847,763.32,765.802,768.291,770.789,773.295,775.809,778.331,780.861,783.399,785.946,788.501,791.064,793.636,796.216,798.804,801.401,804.006,806.62,809.242,811.873,814.512,817.16,819.817,822.482,825.156,827.838,830.529,833.229,835.938,838.655,841.382,844.117,846.861,849.614,852.376,855.147,857.927,861.898,865.887,869.894,873.921,877.965,882.029,886.111,890.212,894.333,898.472,902.63,906.808,911.005,915.221,919.457,923.713,927.988,932.283,936.598,940.933,945.288,949.663,954.058,958.474,962.91,967.367,971.844,976.342,980.861,985.401,989.961,994.543,999.146,1003.77,1008.42,1013.08,1017.77,1030.45,1047.51,1092.41,1095.77,1097.19,1124.95,1103.16,1141.98,1150.7,1167.19,1152.22,1146.5,1141.58,1137.31,1135.91,1120.31,1123.78,1135.72,1125.69,1119.91,1039.78,994.472,1079.82,1109.51,1137.55,1164.09,1056.47,1111.54,1087.33,1089.15,1205.31,1314.36,1361.56,1336.62,1292.74,1385.43,1145.55,1034.83,1009.87,953.515,948.06,872.66,751.052,672.562,808.868,830.42,853.845,877.976,901.75,892.239,799.682,976.669,1055.15,1081.47,1174.58,1193.28,1321.95,1323.5,1552.03,1632.34,1695.15,1885.36,1906.65
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,860.588,861.482,862.376,863.272,864.169,865.066,865.965,866.864,867.764,868.666,869.568,870.471,871.375,872.28,873.186,874.093,875,875.909,876.819,877.73,878.641,880.511,882.385,884.263,886.145,888.031,889.921,891.815,893.713,895.615,897.522,899.432,901.346,903.264,905.187,907.113,909.044,910.979,912.918,914.861,916.808,918.759,920.714,922.674,924.638,926.606,928.578,930.554,932.535,934.519,936.508,938.502,940.499,942.501,944.507,946.517,948.531,950.55,952.573,954.601,956.632,958.668,960.709,962.753,964.802,966.856,968.914,970.976,973.042,975.113,977.189,991.595,1006.21,1021.05,1036.1,1051.38,1066.88,1082.6,1098.56,1114.76,1131.19,1147.87,1164.79,1181.97,1199.39,1217.07,1235.02,1253.22,1271.7,1290.45,1309.47,1327.43,1345.62,1364.07,1382.77,1401.73,1420.95,1440.43,1460.18,1480.2,1500.49,1520.17,1540.11,1560.3,1580.76,1601.49,1622.5,1643.77,1665.33,1687.17,1709.29,1731.19,1753.36,1775.82,1790.68,1805.66,1820.77,1836,1851.36,1866.85,1882.48,1898.23,1914.11,1930.12,1946.27,1962.56,1978.98,1995.54,2012.24,2029.07,2036.61,2044.18,2051.78,2059.4,2067.05,2074.73,2082.44,2090.18,2097.95,2105.74,2113.57,2121.42,2129.31,2137.22,2145.16,2153.13,2161.13,2169.16,2177.22,2185.31,2193.43,2288.11,2291.77,2384.44,2454.43,2586.75,2612.76,2780.21,2905.47,3025.07,3178.23,3204.63,3310.7,3423.63,3540.88,3670.07,3807.67,3950.98,4093.58,4232.6,4388.75,4564.17,4742.88,4979.12,4997.68,5015.09,5035.16,5057.19,5080.47,5105.24,5141.29,5168.87,5197.29,5227.63,5257.39,5284.91,5318.49,5351.96,5385.85,5426.46,5474.94,3889.97,3574.87,3888.65,4178.04,4702.96,5109.57,4570.58,5131.3,5622.99,6005.08,6407.07,6590.53,6949.82,7322.05,7685.26,8090.42,8528.4,9111.71,9377.05,9656.96,9897.18,10122.6,10296.3
Algeria,1360,1361.64,1363.27,1364.91,1366.54,1368.18,1369.81,1371.45,1373.09,1374.72,1376.36,1377.99,1379.63,1381.27,1382.9,1384.54,1386.17,1387.81,1389.44,1391.08,1392.72,1418.23,1443.75,1469.26,1494.78,1520.29,1545.81,1571.32,1596.84,1622.35,1647.87,1673.38,1698.89,1724.41,1749.92,1775.44,1800.95,1826.47,1851.98,1877.5,1903.01,1928.53,1954.04,1979.56,2005.07,2030.59,2056.1,2081.62,2107.13,2132.65,2158.16,2183.68,2209.19,2234.71,2260.22,2285.74,2311.25,2336.77,2362.28,2387.8,2413.31,2438.83,2464.34,2489.86,2515.37,2540.89,2566.4,2591.92,2617.43,2642.95,2668.46,2693.98,2719.49,2745.01,2770.52,2796.04,2821.55,2847.07,2872.58,2898.1,2923.61,2949.13,2974.64,3000.16,3025.67,3051.19,3076.7,3102.22,3127.73,3153.25,3178.76,3204.28,3229.79,3255.31,3280.82,3306.34,3331.85,3357.37,3382.88,3408.4,3433.91,3459.43,3484.94,3510.46,3535.97,3561.49,3587,3612.52,3638.03,3663.55,3689.06,3714.57,3740.09,3765.6,3783.22,3800.84,3818.46,3836.07,3853.69,3871.31,3888.92,3906.54,3924.16,3941.77,3959.39,3977.01,3994.62,4012.24,4029.86,4047.48,4065.09,4082.71,4100.33,4117.94,4135.56,4153.18,4170.79,4188.41,4206.03,4223.64,4241.26,4258.88,4276.5,4294.11,4311.73,4329.35,4346.96,4364.58,4382.2,4399.81,4417.43,4359.82,4453.43,4430.39,4651.29,4677.94,5027,5480.8,5563.72,6452.66,6758.84,5824.46,4638.56,5721.93,5845.33,6051.82,5584.05,5904.53,6400.61,6815.13,7280.34,6472.54,7606.01,7627.72,7857.5,8163.14,8442.43,8929.4,9770.89,10332.6,10201.9,10191.3,10506.2,10721.6,10969.7,11049.1,10736.8,10388.3,9894.92,10118,10112.8,9748.49,9692.76,9279.46,9005.59,9168.37,9374.86,9321.73,9646.16,9809.74,9885.49,10202.9,10634.4,11251.4,11574.6,12077.2,12088.1,12289,12314.3,12285.1,12494.1,12605.8,12751.7,12956.6
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,1260,1262.15,1264.3,1266.45,1268.6,1270.75,1272.9,1275.05,1277.2,1279.35,1281.5,1283.65,1285.8,1287.95,1290.1,1292.25,1294.4,1296.55,1298.7,1300.85,1303,1330.46,1357.91,1385.37,1412.83,1440.28,1467.74,1495.2,1522.65,1550.11,1577.57,1605.02,1632.48,1659.94,1687.4,1714.85,1742.31,1769.77,1797.22,1824.68,1852.14,1879.59,1907.05,1934.51,1961.96,1989.42,2016.88,2044.33,2071.79,2099.25,2126.7,2154.16,2181.62,2209.07,2236.53,2263.99,2291.45,2318.9,2346.36,2373.82,2401.27,2428.73,2456.19,2483.64,2511.1,2538.56,2566.01,2593.47,2620.93,2648.38,2675.84,2703.3,2730.75,2758.21,2785.67,2813.12,2840.58,2868.04,2895.49,2922.95,2950.41,2977.87,3005.32,3032.78,3060.24,3087.69,3115.15,3142.61,3170.06,3197.52,3224.98,3252.43,3279.89,3307.35,3334.8,3362.26,3389.72,3417.17,3444.63,3472.09,3499.54,3527,3554.46,3581.92,3609.37,3636.83,3664.29,3691.74,3719.2,3746.66,3774.11,3801.57,3829.03,3856.48,3944.15,4031.81,4119.47,4207.13,4294.8,4382.46,4470.12,4557.78,4645.45,4733.11,4820.77,4908.43,4996.1,5083.76,5171.42,5259.09,5346.75,5434.41,5522.07,5609.74,5697.4,5785.06,5872.72,5960.39,6048.05,6135.71,6223.37,6311.04,6398.7,6486.36,6574.02,6661.69,6749.35,6837.01,6924.67,7012.34,7100,8418.16,9736.33,11054.5,12372.7,13690.8,15009,16327.1,17645.3,18963.5,20281.6,21599.8,22918,24236.1,25554.3,26872.5,28190.6,29508.8,30827,32145.1,33463.3,33264.1,34193.1,35108.1,35468.9,34276.8,34211.5,34121.9,33618.7,32596.3,32167,30891.7,29989.3,29213.1,28451.8,27876.6,27596.7,27959.6,28234.3,28458.5,28417.4,28028.7,27218.2,26010.5,25906.8,26143,27179.8,29729.4,30819.2,31939.8,31662.4,31793.8,31866,34500.3,36329.5,39786.6,42738.4,43441.9,41426,41734.6,38981.9,41958,41925.9,43734.6
Angola,650,653.54,657.08,660.619,664.159,667.699,671.239,674.779,678.319,681.858,685.398,688.938,692.478,696.018,699.558,703.097,706.637,710.177,713.717,717.257,720.796,724.336,727.876,731.416,734.956,738.496,742.035,745.575,749.115,752.655,756.195,759.735,763.274,766.814,770.354,773.894,777.434,780.973,784.513,788.053,791.593,795.133,798.673,802.212,805.752,809.292,812.832,816.372,819.912,823.451,826.991,830.531,834.071,837.611,841.15,844.69,848.23,851.77,855.31,858.85,862.389,865.929,869.469,873.009,876.549,880.089,883.628,887.168,890.708,894.248,897.788,901.327,904.867,908.407,911.947,915.487,919.027,922.566,926.106,929.646,933.186,936.726,940.266,943.805,947.345,950.885,954.425,957.965,961.504,965.044,968.584,972.124,975.664,979.204,982.743,986.283,989.823,993.363,996.903,1000.44,1003.98,1007.52,1011.06,1014.6,1018.14,1021.68,1025.22,1028.76,1032.3,1035.84,1039.38,1042.92,1046.46,1050,1105.09,1160.18,1215.26,1270.35,1325.44,1380.53,1435.61,1490.7,1545.79,1600.88,1655.96,1711.05,1766.14,1821.23,1876.31,1931.4,1986.49,2041.58,2096.67,2151.75,2206.84,2261.93,2317.02,2372.1,2427.19,2482.28,2537.37,2592.45,2647.54,2702.63,2757.72,2812.8,2867.89,2922.98,2978.07,3033.16,3088.24,3159.76,3232.96,3304.76,3168.87,3372.05,3259.06,3515.17,3642.34,3597.66,3678.88,4099.1,3920.45,4052.98,4432.14,4685.33,4874.43,5071.53,4909.78,4966.24,5190.09,5391.39,5285.17,5585.23,5625.13,5210.63,4812.95,4722.83,4351.18,4238.12,4218.14,3897.36,3760.14,3779.69,3871.98,3884.2,3897.1,4065.15,4187.95,4098.42,3968.67,3888.2,3544.94,2607.34,2558.73,2854.51,3329.79,3419.7,3329.63,3342.53,3340.65,3334.95,3690.69,3681.57,3956.01,4613.32,5303.7,6341.61,7012.63,6980.11,7021.58,7094.08,7244.83,7319.35
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,796.593,801.857,807.156,812.489,817.858,823.262,828.702,834.178,839.69,845.239,850.824,856.446,862.105,867.802,873.536,879.308,885.119,890.967,896.855,902.781,908.746,914.751,920.796,926.88,933.005,939.17,945.376,951.623,957.911,964.241,970.612,977.026,983.482,989.981,996.522,1003.11,1009.74,1016.41,1023.12,1029.88,1036.69,1043.54,1050.44,1057.38,1064.36,1071.4,1078.48,1085.6,1092.78,1100,1107.27,1114.58,1121.95,1129.36,1136.82,1144.34,1151.9,1159.51,1167.17,1174.88,1182.65,1190.46,1198.33,1206.25,1214.22,1222.24,1230.32,1238.45,1246.63,1254.87,1263.16,1271.51,1279.91,1288.36,1296.88,1305.45,1314.07,1322.76,1331.5,1340.3,1349.15,1358.07,1367.04,1376.07,1385.17,1394.32,1403.53,1412.81,1422.14,1431.54,1441,1450.52,1460.11,1469.75,1505.78,1542.68,1580.49,1619.22,1658.91,1699.57,1741.22,1783.89,1827.62,1872.41,1918.3,1965.31,2013.48,2062.83,2113.38,2165.18,2218.24,2272.61,2328.31,2385.37,2443.83,2503.73,2565.09,2627.96,2692.36,2758.35,2825.95,2895.21,2966.17,3038.86,3113.34,3189.65,3267.82,3347.91,3429.96,3514.02,3600.15,3688.38,3778.78,3871.39,3966.27,4063.48,4163.07,4265.1,4369.63,4476.72,4586.44,4698.85,4814.01,4931.99,5052.87,5176.71,5303.58,5433.56,5566.73,5703.16,5842.94,6123.37,6412.3,6803.05,6918.88,6483.8,5906.36,6391.37,6710.14,7554.49,8185.32,8703.47,8838.11,9548.13,10393,11384.1,12597.1,14018.1,15425.4,16588.7,17124.5,17387.9,17278.1,17810.2,18462.1,17238.1,17910.1,18328.5,18662.7,18978.1,18848.5,18895.9,19049.2,19747.5,20883.5,21571.4,24004.5,25392.8,25488.8,22519.1,20598.6,19987.9,20546.3,20642.5
