last_name,first_name_initial,election_year,elected,city,county,title,position,political_party
Adams,Georgia,1885,TRUE,,Faribault,County Superintendent of Schools,Superintendent,
Baker,Mrs. O.,1886,TRUE,Princeton,Mille Lacs,Superintendent of Schools,Superintendent,
Bangs,Mrs. S. B.,1894,,Duluth,St. Louis,County Superintendent of Schools,Superintendent,"Democrat, Populist"
Carpenter,Annie,1876,TRUE,,Houston,County Superintendent of Schools,Superintendent,
Carpenter,Annie,1885,TRUE,,Houston,County Superintendent of Schools,Superintendent,
Carpenter,Mrs. R.S.,1885,TRUE,,Olmstead,County Superintendent of Instruction,Superintendent,
Carver,Mrs. R.S.,1876,TRUE,,Olmstead,County Superintendent of Instruction,Superintendent,
Conforth,Ellen,1876,TRUE,,Anoka,County Superintendent of Schools,Superintendent,
Conforth,Ellen,1885,TRUE,,Anoka,County Superintendent of Schools,Superintendent,
Duff,Nellie,1876,TRUE,,Dakota,County Superintendent of Schools,Superintendent,
Duff,Nellie,1885,TRUE,,Dakota,County Superintendent of Schools,Superintendent,
Duffy,Vannie,1876,TRUE,,Mower ,County Superintendent of Schools,Superintendent,
Duffy,Vannie,1885,TRUE,,Mower ,County Superintendent of Schools,Superintendent,
Dunn,Annie,1876,TRUE,,Ramsey,County Superintendent of Schools,Superintendent,
Dunn,Annie,1885,TRUE,,Ramsey,County Superintendent of Schools,Superintendent,
Dupont,Angelina,1876,TRUE,,Hennepin,County Superintendent of Schools,Superintendent,
Dupont,Angelina,1885,TRUE,,Hennepin,County Superintendent of Schools,Superintendent,
Ferguson,Mary,1876,TRUE,,Meeker,County Superintendent of Schools,Superintendent,
Ferguson,Mary,1885,TRUE,,Meeker,County Superintendent of Schools,Superintendent,
Ferro,Louise,1876,TRUE,,Lyon,County Superintendent of Schools,Superintendent,
Ferro,Louise,1885,TRUE,,Lyon,County Superintendent of Schools,Superintendent,
Foote,Louisa,1876,TRUE,,Freeborn,County Superintendent of Schools,Superintendent,
Foote,Louisa,1885,TRUE,,Freeborn,County Superintendent of Schools,Superintendent,
Forbes,Dell,1898,TRUE,,Lyon,County Superintendent of Schools,Superintendent,
Fuller,Mrs. J.W.,1876,TRUE,,Martin,County Superintendent of Instruction,Superintendent,
Fuller,Mrs. J.W.,1885,TRUE,,Martin,County Superintendent of Instruction,Superintendent,
Gles,Fannie,1904,TRUE,,Mower,County Superintendent of Schools,Superintendent,
Gles,Fannie G.,1898,TRUE,,Mower ,County Superintendent of Schools,Superintendent,
Goetsinger,Christine,1904,TRUE,,Ottertail,County Superintendent of Schools,Superintendent,
Goetsinger,Christine,1898,TRUE,,Ottertail,County Superintendent of Schools,Superintendent,
Goff,Eugenia Almira Wheeler,1894,FALSE,Minneapolis,,School Board,School Board,"Democratic, Populist, Prohibition"
Gorton,Ella,1876,TRUE,,Pine,County Superintendent of Public Instruction,Superintendent,
Graham,Belle,,TRUE,,Benton,County Superintendent of Schools,Superintendent,
Haggerty,Jane,1876,TRUE,,Olmstead,County Superintendent of Instruction,Superintendent,
Harris,Jane,1876,TRUE,,Faribault,County Superintendent of Instruction,Superintendent,
Harris,Jane,1885,TRUE,,Faribault,County Superintendent of Instruction,Superintendent,
Harsh,Mrs. A.E.,1876,TRUE,,Fillmore,County Superintendent of Instruction,Superintendent,
Harsh,Mrs. A.E.,1885,TRUE,,Fillmore,County Superintendent of Instruction,Superintendent,
Harvey,Mary E.,1876,TRUE,,Martin,County Superintendent of Instruction,Superintendent,
Harvey,Mary E.,1885,TRUE,,Martin,County Superintendent of Instruction,Superintendent,
Ingraham,Ann S. ,1876,,,Brown,County Superintendent of Instruction,Superintendent,
Ingraham,Ann S. ,1885,TRUE,,Brown,County Superintendent of Instruction,Superintendent,
Jackman,Mrs. A.R.,1876,TRUE,,Meeker,County Superintendent of Instruction,Superintendent,
Jackman,Mrs. A.R.,1885,TRUE,,Meeker,County Superintendent of Instruction,Superintendent,
Johnson,Mrs. A.W.,1876,TRUE,,Freeborn,County Superintendent of Instruction,Superintendent,
Johnson,Mrs. A.W.,1885,TRUE,,Freeborn,County Superintendent of Instruction,Superintendent,
